default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
0,1,6,1,4,1169,4,0,4,2,4,2,67,1,1,2,1,1,1,1
1,0,48,3,4,5951,1,2,2,2,2,2,22,1,1,1,1,1,0,1
0,3,12,1,0,2096,1,3,2,2,3,2,49,1,1,1,3,2,0,1
0,1,42,3,7,7882,1,3,2,1,4,0,45,1,0,1,1,2,0,1
1,1,24,2,2,4870,1,2,3,2,4,3,53,1,0,2,1,2,0,1
0,3,36,3,0,9055,4,2,2,2,4,3,35,1,0,1,3,2,1,1
0,3,24,3,7,2835,3,0,3,2,4,0,53,1,1,1,1,1,0,1
0,0,36,3,3,6948,1,2,2,2,2,1,35,1,2,1,0,1,1,1
0,3,12,3,4,3059,0,3,2,2,4,2,61,1,1,1,3,1,0,1
1,0,30,1,2,5234,1,4,4,2,2,1,28,1,1,2,0,1,0,1
1,0,12,3,2,1295,1,1,3,2,1,1,25,1,2,1,1,1,0,1
1,1,48,3,1,4308,1,1,3,2,4,0,24,1,2,1,1,1,0,1
0,0,12,3,4,1567,1,2,1,2,1,1,22,1,1,1,1,1,1,1
1,1,24,1,2,1199,1,0,4,2,4,1,60,1,1,2,3,1,0,1
0,1,15,3,2,1403,1,2,2,2,4,1,28,1,2,1,1,1,0,1
1,1,24,3,4,1282,2,2,4,2,2,1,32,1,1,1,3,1,0,1
0,3,24,1,4,2424,4,0,4,2,4,0,53,1,1,2,1,1,0,1
0,1,30,4,1,8072,4,1,2,2,3,1,25,0,1,3,1,1,0,1
1,0,24,3,3,12579,1,0,4,2,2,3,44,1,0,1,0,1,1,1
0,3,24,3,4,3430,3,0,3,2,2,1,31,1,1,1,1,2,1,1
0,3,9,1,2,2134,1,2,4,2,4,1,48,1,1,3,1,1,1,1
0,1,6,3,4,2647,3,2,2,2,3,2,44,1,2,1,1,2,0,1
0,1,10,1,2,2241,1,1,1,2,3,2,48,1,2,2,3,2,0,0
0,0,12,1,3,1804,2,1,3,2,4,0,44,1,1,1,1,1,0,1
0,3,10,1,7,2069,4,2,2,2,1,1,26,1,1,2,1,1,0,0
0,1,6,3,7,1374,1,2,1,2,2,2,36,0,1,1,3,1,1,1
0,3,6,4,4,426,1,0,4,2,4,1,39,1,1,1,3,1,0,1
0,2,12,0,4,409,0,2,3,2,3,2,42,1,2,2,1,1,0,1
0,0,7,3,4,2415,1,2,3,1,2,2,34,1,1,1,1,1,0,1
1,1,60,2,1,6836,1,0,3,2,4,3,63,1,1,2,1,1,1,1
0,0,18,3,1,1913,0,1,3,2,3,2,36,0,1,1,1,1,1,1
0,1,24,3,7,4020,1,2,2,2,2,1,27,2,1,1,1,1,0,1
0,0,18,3,2,5866,2,2,2,2,2,1,30,1,1,2,1,1,1,1
0,3,12,1,1,1264,4,0,4,2,4,3,57,1,2,1,3,1,0,1
0,2,12,3,7,1474,1,1,4,2,1,0,33,0,1,1,0,1,1,1
1,0,45,1,4,4746,1,1,4,2,2,0,25,1,1,2,3,1,0,1
0,3,48,1,0,6110,1,2,1,2,3,3,31,0,0,1,1,1,1,1
1,2,18,3,4,2100,1,2,4,0,2,2,37,2,1,1,1,1,0,1
0,2,10,3,8,1225,1,2,2,2,2,1,37,1,1,1,1,1,1,1
0,0,9,3,4,458,1,2,4,2,3,2,24,1,1,1,1,1,0,1
0,3,30,3,4,2333,3,0,4,2,2,1,30,0,1,1,0,1,0,1
0,0,12,3,4,1158,3,2,3,2,1,1,26,1,1,1,1,1,1,1
0,0,18,2,5,6204,1,2,2,2,4,2,44,1,1,1,3,2,1,1
0,1,30,1,3,6187,2,3,1,2,4,1,24,1,2,2,1,1,0,1
1,1,48,1,3,6143,1,0,4,2,4,3,58,2,0,2,3,1,0,1
0,3,11,1,2,1393,1,1,4,2,4,1,35,1,1,2,0,1,0,1
0,3,36,3,4,2299,3,0,4,2,4,1,39,1,1,1,1,1,0,1
0,1,6,3,3,1352,3,4,1,2,2,0,23,1,2,1,2,1,1,1
0,3,11,1,2,7228,1,2,1,2,4,0,39,1,1,2,3,1,0,1
0,3,12,3,4,2073,2,2,4,0,2,2,28,1,1,1,1,1,0,1
0,0,24,2,7,2333,4,1,4,2,2,0,29,0,1,1,3,1,0,1
0,0,27,2,3,5965,1,0,1,2,2,1,30,1,1,2,0,1,1,1
0,3,12,3,4,1262,1,2,3,2,2,1,25,1,1,1,1,1,0,1
0,3,18,3,3,3378,4,2,2,2,1,0,31,1,1,1,1,1,1,1
1,0,36,2,2,2225,1,0,4,2,4,3,57,0,0,2,1,1,1,1
0,3,6,0,2,783,4,2,1,1,2,2,26,2,1,1,3,2,0,1
1,0,12,3,4,6468,4,4,2,2,1,3,52,1,1,1,0,1,1,1
0,3,36,1,4,9566,1,2,2,2,2,1,31,2,1,2,1,1,0,1
0,2,18,3,2,1961,1,0,3,2,2,1,23,1,1,1,0,1,0,1
1,1,36,1,7,6229,1,1,4,0,4,3,23,1,2,2,3,1,1,1
0,0,9,3,1,1391,1,2,2,2,1,2,27,0,1,1,1,1,1,1
0,0,15,1,4,1537,4,0,4,1,4,2,50,1,1,2,1,1,1,1
1,0,36,4,1,1953,1,0,4,2,4,3,61,1,0,1,0,1,1,1
1,0,48,4,1,14421,1,2,2,2,2,1,25,1,1,1,1,1,1,1
0,3,24,3,4,3181,1,1,4,2,4,0,26,1,1,1,1,1,1,1
